iter	Passed	Remaining
0	7	2893
1	13	2712
2	25	3407
3	37	3700
4	49	3904
5	56	3700
6	64	3625
7	69	3402
8	77	3373
9	83	3257
10	91	3244
11	96	3130
12	101	3014
13	106	2948
14	112	2894
15	118	2844
16	125	2830
17	131	2782
18	137	2761
19	144	2748
20	153	2761
21	158	2723
22	167	2738
23	176	2764
24	183	2758
25	190	2743
26	196	2720
27	202	2692
28	207	2659
29	216	2674
30	226	2690
31	234	2697
32	242	2695
33	252	2721
34	263	2751
35	272	2759
36	284	2787
37	292	2785
38	301	2794
39	311	2800
40	320	2810
41	329	2812
42	335	2785
43	342	2769
44	350	2762
45	359	2767
46	368	2768
47	374	2748
48	380	2728
49	389	2726
50	397	2723
51	406	2722
52	414	2712
53	421	2698
54	427	2681
55	433	2663
56	439	2645
57	445	2628
58	454	2628
59	463	2629
60	470	2612
61	476	2595
62	482	2582
63	488	2567
64	495	2551
65	505	2558
66	511	2542
67	521	2544
68	530	2547
69	540	2548
70	552	2559
71	564	2569
72	574	2572
73	581	2560
74	595	2580
75	603	2573
76	610	2560
77	616	2546
78	624	2536
79	634	2539
80	642	2531
81	652	2531
82	659	2518
83	668	2514
84	674	2499
85	680	2486
86	687	2471
87	697	2471
88	710	2482
89	719	2479
90	725	2464
91	732	2453
92	740	2442
93	747	2432
94	754	2420
95	761	2409
96	769	2404
97	777	2397
98	782	2379
99	788	2366
100	797	2362
101	806	2356
102	816	2354
103	823	2343
104	831	2337
105	838	2324
106	846	2319
107	854	2309
108	860	2296
109	866	2283
110	871	2268
111	879	2261
112	886	2251
113	892	2239
114	900	2231
115	908	2225
116	918	2221
117	926	2213
118	932	2201
119	942	2198
120	950	2191
121	958	2185
122	966	2177
123	973	2166
124	978	2153
125	988	2148
126	995	2139
127	1003	2132
128	1011	2125
129	1017	2112
130	1022	2099
131	1028	2088
132	1036	2080
133	1044	2073
134	1049	2060
135	1056	2051
136	1062	2038
137	1072	2036
138	1078	2024
139	1085	2015
140	1090	2003
141	1096	1992
142	1103	1982
143	1109	1972
144	1114	1960
145	1119	1948
146	1125	1936
147	1136	1935
148	1152	1940
149	1158	1930
150	1167	1924
151	1175	1917
152	1181	1906
153	1186	1894
154	1192	1884
155	1197	1872
156	1202	1860
157	1207	1849
158	1212	1838
159	1218	1827
160	1226	1821
161	1233	1812
162	1239	1802
163	1249	1797
164	1257	1790
165	1265	1784
166	1273	1776
167	1279	1766
168	1284	1756
169	1290	1745
170	1295	1735
171	1303	1728
172	1309	1717
173	1314	1707
174	1322	1700
175	1328	1690
176	1334	1680
177	1339	1670
178	1345	1660
179	1352	1652
180	1357	1642
181	1368	1639
182	1377	1632
183	1385	1626
184	1394	1620
185	1399	1610
186	1408	1604
187	1421	1602
188	1430	1597
189	1442	1594
190	1451	1588
191	1462	1583
192	1470	1576
193	1478	1569
194	1485	1562
195	1492	1553
196	1498	1544
197	1505	1535
198	1512	1527
199	1520	1520
200	1529	1514
201	1539	1509
202	1546	1501
203	1552	1491
204	1559	1483
205	1569	1478
206	1575	1469
207	1582	1460
208	1588	1451
209	1598	1446
210	1604	1437
211	1611	1428
212	1617	1419
213	1623	1410
214	1628	1401
215	1637	1394
216	1644	1386
217	1650	1377
218	1655	1368
219	1662	1360
220	1668	1351
221	1674	1342
222	1680	1333
223	1687	1325
224	1693	1317
225	1699	1308
226	1705	1299
