feature,importance
source_dataset,0.15090292690623905
perceived trainingSuccess.1_lag_1,0.023352920328212498
perceived trainingSuccess.2_roll3_mean,0.02102166408329663
strength training.2_roll3_mean,0.015355350991904743
strength training.1_lag_1,0.015223619311021674
perceived recovery.1_roll7_mean,0.014934243343999454
strength training_roll3_std,0.01325678039814951
total km.4,0.013001757823295879
perceived trainingSuccess.2_change_rate,0.012854241075554856
perceived exertion.6,0.012786169707619269
perceived trainingSuccess.1_roll7_mean,0.01133521260710045
nr. sessions.4,0.011101336626350836
total km.6,0.010877064947034332
perceived recovery,0.010397346365350474
nr. sessions.3,0.009284437988371405
perceived exertion.1_roll3_mean,0.008165496392062654
perceived trainingSuccess.6,0.007284780731076718
perceived trainingSuccess.2_roll7_mean,0.007246218110807501
strength training.2_roll7_mean,0.006995192367294387
total km.3,0.006496304298896416
perceived exertion_lag_1,0.006084334979091402
perceived recovery.6,0.005778660447727721
hours alternative.4,0.005241602724862529
perceived trainingSuccess.5,0.004795629518795294
strength training.1,0.004743384677262208
perceived exertion.1_roll7_std,0.00461597839221832
perceived trainingSuccess.1_roll3_std,0.004406853483041956
perceived exertion.1_change_rate,0.004387501829912169
strength training_roll7_mean,0.00438020767539303
total km.2,0.004289924138574153
max exertion,0.00414959743019111
strength training.2_lag_1,0.004093297197959284
km Z5-T1-T2.1,0.0037563773060488997
perceived trainingSuccess_roll7_std,0.0035461439544993423
perceived exertion_roll3_mean,0.0033244746047526447
perceived trainingSuccess_roll3_mean,0.003201457760093243
perceived recovery_lag_1,0.003137873243738945
perceived trainingSuccess.2_lag_1,0.0030369084098364613
total km,0.0029817629355054914
perceived recovery.1_roll3_mean,0.0027732648705145885
total km Z5-T1-T2.2,0.002567762907082674
perceived trainingSuccess_roll3_std,0.0024933101971363614
km Z3-4.3,0.002431213421400971
strength training_change_rate,0.0021604594781366865
perceived trainingSuccess.2_roll7_std,0.0020780452355673024
strength training.4,0.0019001614423048152
hours alternative.6,0.0018553686970849553
max km Z5-T1-T2 one day.2,0.0018456083275475849
nr. sessions.6,0.001821435276918762
perceived recovery_roll3_mean,0.001590240195495099
perceived trainingSuccess_change_rate,0.0014614787396611678
perceived trainingSuccess.1_change_rate,0.0009479179149774197
perceived trainingSuccess.3,0.0007478039340941961
km Z3-4.2,0.0007357231769471728
nr. strength trainings.1,0.0007061492275138026
km Z5-T1-T2.5,0.000642020677087865
strength training_lag_1,0.0006260335310035864
km Z5-T1-T2,0.0005424714808466569
km Z3-4.6,0.0004985828848485391
km sprinting.3,0.0004745973022684813
perceived recovery.5,0.0004603413989703875
max training success.2,0.0004319711459007114
hours alternative.2,0.00035018443730924775
perceived trainingSuccess.4,0.00030777382801103204
perceived recovery.4,0.00029806118363581713
avg exertion,0.0002764600073842244
hours alternative.1,0.0002639231373959827
total hours alternative training.1,0.00022270960095688297
strength training,0.0002106477079256014
km sprinting.6,9.274945566792314e-05
perceived trainingSuccess_lag_1,8.74734018389417e-05
strength training.2_roll3_std,3.618992717126235e-05
rel total kms week 0_1,1.9438302356969417e-05
stress_level_change_rate,0.0
sleep_quality_roll7_mean,0.0
training_duration_roll7_mean,0.0
training_duration_roll7_std,0.0
sleep_quality_roll7_std,0.0
training_duration_change_rate,0.0
training_load_lag_1,0.0
training_load_roll3_mean,0.0
training_load_roll3_std,0.0
Player_Age,0.0
sleep_quality_roll3_std,0.0
sleep_quality_change_rate,0.0
sleep_quality_roll3_mean,0.0
training_load_roll7_mean,0.0
sleep_quality_lag_1,0.0
training_load_roll7_std,0.0
Previous_Injuries,0.0
Player_Height,0.0
heart_rate,0.0
training_duration_roll3_std,0.0
recovery_score_lag_1,0.0
training_intensity_lag_1,0.0
training_duration_roll3_mean,0.0
stress_level_roll7_std,0.0
stress_level_roll7_mean,0.0
stress_level_roll3_std,0.0
stress_level_roll3_mean,0.0
training_intensity_roll3_std,0.0
stress_level_lag_1,0.0
training_intensity_roll7_mean,0.0
recovery_score_change_rate,0.0
recovery_score_roll7_std,0.0
recovery_score_roll7_mean,0.0
training_load_change_rate,0.0
recovery_score_roll3_std,0.0
training_intensity_roll7_std,0.0
training_intensity_change_rate,0.0
training_duration_lag_1,0.0
recovery_score_roll3_mean,0.0
Player_Weight,0.0
training_intensity_roll3_mean,0.0
athlete_id,0.0
fatigue_index_lag_1,0.0
Training_Intensity_lag_1,0.0
Recovery_Time_roll7_mean,0.0
Recovery_Time_roll7_std,0.0
Recovery_Time_change_rate,0.0
Stress_Level_lag_1,0.0
Stress_Level_roll3_mean,0.0
Stress_Level_roll3_std,0.0
Stress_Level_roll7_mean,0.0
Stress_Level_roll7_std,0.0
Stress_Level_change_rate,0.0
Training_Intensity_roll3_mean,0.0
Recovery_Time_roll3_mean,0.0
Training_Intensity_roll3_std,0.0
Training_Intensity_roll7_mean,0.0
Training_Intensity_roll7_std,0.0
Training_Intensity_change_rate,0.0
load_recovery_ratio,0.0
fatigue_sleep_pressure,0.0
intensity_duration_load,0.0
intensity_recovery_pressure,0.0
stress_sleep_pressure,0.0
Recovery_Time_roll3_std,0.0
Recovery_Time_lag_1,0.0
fatigue_index_roll3_mean,0.0
Training_Frequency_change_rate,0.0
fatigue_index_roll3_std,0.0
fatigue_index_roll7_mean,0.0
fatigue_index_roll7_std,0.0
fatigue_index_change_rate,0.0
Training_Frequency_lag_1,0.0
Training_Frequency_roll3_mean,0.0
Training_Frequency_roll3_std,0.0
Training_Frequency_roll7_mean,0.0
Training_Frequency_roll7_std,0.0
Training_Duration_lag_1,0.0
Sleep_Hours_change_rate,0.0
Training_Duration_roll3_mean,0.0
Training_Duration_roll7_mean,0.0
Training_Duration_roll7_std,0.0
Training_Duration_change_rate,0.0
Sleep_Hours_lag_1,0.0
Sleep_Hours_roll3_mean,0.0
Sleep_Hours_roll3_std,0.0
Sleep_Hours_roll7_mean,0.0
Sleep_Hours_roll7_std,0.0
Training_Duration_roll3_std,0.0
heart_recovery_pressure,0.0
Age,0.0
Muscle_Asymmetry,0.0
Warmup_Time,0.0
strength training.6,0.0
training_intensity,0.0
Recovery_Time,0.0
training_duration,0.0
training_load,0.0
fatigue_index,0.0
session_id,0.0
sport_type,0.0
Flexibility_Score,0.0
Injury_History,0.0
gender,0.0
age,0.0
bmi,0.0
Gender,0.0
Height_cm,0.0
Weight_kg,0.0
BMI,0.0
Sleep_Hours,0.0
Training_Frequency,0.0
altitude,0.0
playing_surface,0.0
Stress_Level,0.0
step_count,0.0
body_temperature,0.0
hydration_level,0.0
sleep_quality,0.0
recovery_score,0.0
stress_level,0.0
muscle_activity,0.0
joint_angles,0.0
gait_speed,0.0
humidity,0.0
cadence,0.0
Training_Intensity,0.0
jump_height,0.0
