feature,importance
source_dataset,0.0702484659925676
strength training_roll7_std,0.0021778870770806204
nr. sessions.5,0.001020984665052449
km Z5-T1-T2,0.00031328320802004317
perceived trainingSuccess.2_change_rate,0.0002506265664160345
avg training success.1,0.0002484659925676258
km sprinting,0.00012531328320801726
perceived trainingSuccess.2_lag_1,6.265664160400863e-05
perceived exertion.1_change_rate,6.265664160400863e-05
hours alternative.4,6.265664160400863e-05
perceived exertion_lag_1,6.037821827294954e-05
strength training.2_roll7_std,5.8217644424540804e-05
training_intensity_roll7_mean,0.0
training_duration_roll3_std,0.0
training_intensity_roll3_std,0.0
training_duration_roll7_mean,0.0
training_duration_lag_1,0.0
training_duration_roll3_mean,0.0
training_duration_roll7_std,0.0
training_intensity_change_rate,0.0
training_intensity_roll7_std,0.0
athlete_id,0.0
training_duration_change_rate,0.0
training_intensity_lag_1,0.0
training_load_lag_1,0.0
training_load_roll3_mean,0.0
training_load_roll3_std,0.0
training_load_roll7_mean,0.0
training_load_roll7_std,0.0
training_load_change_rate,0.0
fatigue_index_lag_1,0.0
fatigue_index_roll3_mean,0.0
fatigue_index_roll3_std,0.0
fatigue_index_roll7_mean,0.0
training_intensity_roll3_mean,0.0
stress_level_roll3_mean,0.0
stress_level_change_rate,0.0
sleep_quality_roll7_std,0.0
nr. strength trainings,0.0
heart_rate,0.0
Player_Age,0.0
Player_Weight,0.0
Player_Height,0.0
Previous_Injuries,0.0
sleep_quality_lag_1,0.0
sleep_quality_roll3_mean,0.0
sleep_quality_roll3_std,0.0
sleep_quality_roll7_mean,0.0
sleep_quality_change_rate,0.0
stress_level_roll7_std,0.0
recovery_score_lag_1,0.0
recovery_score_roll3_mean,0.0
recovery_score_roll3_std,0.0
recovery_score_roll7_mean,0.0
recovery_score_roll7_std,0.0
recovery_score_change_rate,0.0
stress_level_lag_1,0.0
fatigue_index_change_rate,0.0
stress_level_roll3_std,0.0
stress_level_roll7_mean,0.0
fatigue_index_roll7_std,0.0
Training_Frequency_roll7_std,0.0
Training_Frequency_lag_1,0.0
Training_Frequency_roll3_mean,0.0
Stress_Level_roll7_std,0.0
Stress_Level_change_rate,0.0
Training_Intensity_lag_1,0.0
Training_Intensity_roll3_mean,0.0
Training_Intensity_roll3_std,0.0
Training_Intensity_roll7_mean,0.0
Training_Intensity_roll7_std,0.0
Training_Intensity_change_rate,0.0
strength training_lag_1,0.0
strength training_roll3_mean,0.0
strength training_roll3_std,0.0
perceived trainingSuccess_change_rate,0.0
strength training.1_lag_1,0.0
strength training.1_roll3_mean,0.0
strength training.1_roll3_std,0.0
strength training.1_change_rate,0.0
strength training.2_lag_1,0.0
strength training.2_change_rate,0.0
load_recovery_ratio,0.0
fatigue_sleep_pressure,0.0
intensity_duration_load,0.0
intensity_recovery_pressure,0.0
stress_sleep_pressure,0.0
Stress_Level_roll7_mean,0.0
Stress_Level_roll3_std,0.0
Stress_Level_roll3_mean,0.0
Sleep_Hours_lag_1,0.0
